This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| fntsia2a	|  	| Fantasia II (Less Explicit)				| fantsia2	| 1997	| Comad		| Miscellaneous	| 					|
| g_fanda	| D	| Fantastic Dizzy (UE) (M5) [a1]			| 		| 1900	| Codemasters	| Megadrive	| 					|
| g_fand	| D	| Fantastic Dizzy (UE) (M5) [c][!]			| 		| 1900	| Codemasters	| Megadrive	| 					|
| fantsy95	|  	| Fantasy '95						| 		| 1995	| Hi-max Technol| Miscellaneous	| 					|
| fantzon1	|  	| Fantasy Zone (set 1, unprotected)			| fantzone	| 1986	| Sega		| System 16A	| 					|
| fantzone	|  	| Fantasy Zone (set 2, unprotected)			| 		| 1986	| Sega		| System 16A	| 					|
| g_fas1	| D	| Fastest 1 (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fatfue	| D	| Fatal Fury (E)					| 		| 1993	| SNK / Takara	| Megadrive	| 					|
| g_faf		| D	| Fatal Fury (U) [!]					| 		| 1993	| SNK / Takara	| Megadrive	| 					|
| fatfury1	|  	| Fatal Fury - king of fighters\0Garou Denetsu - shukume| 		| 1992	| SNK		| Neo Geo	| 					|
| g_faf2	| D	| Fatal Fury 2 (U) [c][!]				| 		| 1994	| SNK / Takara	| Megadrive	| 					|
| fatfury2	|  	| Fatal Fury 2\0Garou Densetsu 2 - arata-naru tatakai	| 		| 1992	| SNK		| Neo Geo	| 					|
| fatfury3	|  	| Fatal Fury 3 - road to the final victory\0Garou Denset| 		| 1995	| SNK		| Neo Geo	| 					|
| fatfursp	|  	| Fatal Fury Special (set 1)\0Garou Densetsu Special	| 		| 1993	| SNK		| Neo Geo	| 					|
| fatfursa	|  	| Fatal Fury Special (set 2)\0Garou Densetsu Special	| fatfursp	| 1993	| SNK		| Neo Geo	| 					|
| g_fatl	| D	| Fatal Labyrinth (JU) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fatr	| D	| Fatal Rewind (UE) [!]					| 		| 1991	| Psygnosis	| Megadrive	| 					|
| g_fatm	| D	| Fatman (J) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ferias	| D	| Ferias Frustradas do Pica-Pau (B) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fergpb	| D	| Ferrari Grand Prix Challenge (Beta)			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_frgp	| D	| Ferrari Grand Prix Challenge (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fever	| D	| Fever Pitch Soccer (E) (M5) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| feversos	|  	| Fever SOS (International ver. Fri Sep 25 1998)	| 		| 1998	| Cave / Nihon S| Cave		| 					|
| g_fido	| D	| Fido Dido (Prototype)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fifa	|  	| FIFA International Soccer (UE) (M4) [!]		| 		| 1993	| Unsorted	| Megadrive	| 					|
| g_fi95	|  	| FIFA Soccer 95 (UE) [!]				| 		| 1900	| Electronic Art| Megadrive	| 					|
| g_fi96	|  	| FIFA Soccer 96 (UE) (M6) [!]				| 		| 1900	| Electronic Art| Megadrive	| 					|
| g_fi97	| D	| FIFA Soccer 97 Gold Edition (UE) (M6) [!]		| 		| 1996	| Electronic Art| Megadrive	| 					|
| g_f98		| D	| FIFA Soccer 98 - Road to the World Cup (E) (M5) [!]	| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fi99r	|  	| FIFA Soccer 99 (R) [!]				| g_fi96	| 1900	| Unknown (Unlic| Megadrive	| 					|
| fightfev	|  	| Fight Fever (set 1)\0Wang Jung Wang			| 		| 1994	| Viccom	| Neo Geo	| 					|
| fightfva	|  	| Fight Fever (set 2)\0Wang Jung Wang			| fightfev	| 1994	| Viccom	| Neo Geo	| 					|
| fswords	|  	| Fighters Swords (bootleg)				| samsho3	| 1995	| SNK		| Neo Geo	| Korean version of \"Samurai Shodown II|
| g_fghmsj	| D	| Fighting Masters (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fmas	| D	| Fighting Masters (U) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fblo	| D	| Final Blow (J) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| ffightua	|  	| Final Fight (900112 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj1	|  	| Final Fight (900305 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightub	|  	| Final Fight (900613 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj	|  	| Final Fight (Japan)					| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightu	|  	| Final Fight (USA)					| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffight	|  	| Final Fight (World)					| 		| 1989	| Capcom	| CPS1		| 					|
| fstarfrc	|  	| Final Star Force (US)					| 		| 1992	| Tecmo		| Miscellaneous	| 					|
| finalttr	|  	| Final Tetris						| 		| 1993	| Jeil Computer | Kaneko Pandora| 					|
| g_fzon	| D	| Final Zone (JU) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_must	| D	| Fire Mustang (J) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fpro	| D	| Fire Pro Wrestling Gaiden (J) [c][!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fshrke	| D	| Fire Shark (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fshk	| D	| Fire Shark (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fshrku	| D	| Fire Shark (U) [a1][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| fpointbj	|  	| Flash Point (Japan, bootleg)				| fpoint	| 1989	| bootleg	| System 16B	| 					|
| fpoint1	|  	| Flash Point (set 1, Japan, FD1094 317-0127A)		| fpoint	| 1989	| Sega		| System 16B	| 					|
| fpoint	|  	| Flash Point (set 2, Japan, FD1094 317-0127A)		| 		| 1989	| Sega		| System 16B	| 					|
| fpointbl	|  	| Flash Point (World, bootleg)				| fpoint	| 1989	| bootleg	| System 16B	| 					|
| g_fbcke	|  	| Flashback - The Quest for Identity (E) [!]		| g_fbak	| 1993	| Delphine / US | Megadrive	| 					|
| g_fbckj	|  	| Flashback - The Quest for Identity (J) [!]		| g_fbak	| 1993	| Delphine / US | Megadrive	| 					|
| g_fbak	|  	| Flashback - The Quest for Identity (U) [!]		| 		| 1993	| Delphine / US | Megadrive	| 					|
| g_fbckua	|  	| Flashback - The Quest for Identity (U) [a1][!]	| g_fbak	| 1993	| Delphine / US | Megadrive	| 					|
| flashgal	|  	| Flashgal (set 1)					| 		| 1985	| Sega		| Kyugo		| 					|
| flashgla	|  	| Flashgal (set 2)					| flashgal	| 1985	| Sega		| Kyugo		| 					|
| g_fdma	| D	| Flavio's DMA Test (PD)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| flicky	|  	| Flicky (128k Version, System 2, 315-5051)		| 		| 1984	| Sega		| System 1	| 					|
| flicks2	|  	| Flicky (128k Version, System 2, not encrypted)	| flicky	| 1984	| Sega		| System 1	| 					|
| flickyo	|  	| Flicky (64k Version, System 1, 315-5051, set 1)	| flicky	| 1984	| Sega		| System 1	| 					|
| flicks1	|  	| Flicky (64k Version, System 1, 315-5051, set 2)	| flicky	| 1984	| Sega		| System 1	| 					|
| g_flic	| D	| Flicky (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_flinte	| D	| Flintstone						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_flintj	| D	| Flintstone						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_flin	| D	| Flintstone						| 		| 1900	| Unsorted	| Megadrive	| 					|
| fbfrenzy	|  	| Football Frenzy					| 		| 1992	| SNK		| Neo Geo	| 					|
| g_fore	| D	| Foreman For Real (W) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| forgottn	|  	| Forgotten Worlds (US)					| 		| 1988	| Capcom	| CPS1		| 					|
| g_fw00	| D	| Forgotten Worlds (W) (REV00) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fw		| D	| Forgotten Worlds (W) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ftbhb	| D	| Frank Thomas Big Hurt Baseball (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| freeze	|  	| Freeze						| 		| 1984	| Cinematronics	| Jack the Giant| 					|
| g_frog	| D	| Frogger (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fcr		| D	| Fun Car Rally (Unl)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_funnge	| D	| Fun-N-Games (E)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_fung	| D	| Fun-N-Games (U) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| funkybee	|  	| Funky Bee						| 		| 1982	| Orca		| misc		| 					|
| funkbeeb	|  	| Funky Bee (bootleg, harder)				| funkybee	| 1982	| bootleg	| misc		| 					|
| g_fushig	| D	| Fushigi no Umi no Nadia (J) [c][!]			| 		| 1900	| Namco		| Megadrive	| 					|
| g_fut98	|  	| Futbol Argentino 98 - Pasion de Multitudes (Unl)	| g_fi95	| 1900	| Unknown (Unlic| Megadrive	| 					|
| g_glocb	| D	| G-LOC Air Battle (Beta)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| gloc		|  	| G-LOC Air Battle (US)					| 		| 1990	| Sega		| Y-Board	| 					|
| g_gloc	| D	| G-LOC Air Battle (W) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| glocr360	|  	| G-LOC R360						| gloc		| 1990	| Sega		| Y-Board	| 					|
| g_gtwi	| D	| Gadget Twin						| 		| 1900	| Unsorted	| Megadrive	| 					|
| gaia		|  	| Gaia Crusaders					| 		| 1999	| Noise Factory	| Cave		| 					|
| g_gaia	| D	| Gaiares (JU) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ggrouj	| D	| Gain Ground (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gain	| D	| Gain Ground (UE) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| galaxyfg	|  	| Galaxy Fight - universal warriors			| 		| 1995	| Sunsoft	| Neo Geo	| 					|
| gforce2	|  	| Galaxy Force 2					| 		| 1988	| Sega		| Y-Board	| 					|
| gforce2j	|  	| Galaxy Force 2 (Japan)				| gforce2	| 1988	| Sega		| Y-Board	| 					|
| g_glf200	| D	| Galaxy Force II (W) (REV00)				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gf2		| D	| Galaxy Force II (W) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| galhustl	|  	| Gals Hustler						| 		| 1997	| ACE Internatio| Miscellaneous	| 					|
| galpanic	|  	| Gals Panic (Unprotected)				| 		| 1990	| Kaneko	| Miscellaneous	| 					|
| g_gamblr	| D	| Gambler Jiko Chuushinha - Katayama Masayuki no Mahjong| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gameno	| D	| Game no Kanzume Otokuyou (J) [!]			| 		| 1994	| Sega		| Megadrive	| 					|
| ginkun	|  	| Ganbare Ginkun					| 		| 1995	| Tecmo		| Miscellaneous	| Imperfect GFX				|
| ganryu	|  	| Ganryu\0Musashi Ganryuki				| 		| 1999	| Visco		| Neo Geo	| 					|
| gardia	|  	| Gardia (317-0006)					| 		| 1986	| Sega / Corelan| System 1	| 					|
| g_garf	| D	| Garfield - Caught in the Act (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_garg	| D	| Gargoyles (U) [!]					| 		| 1995	| Buena Vista In| Megadrive	| 					|
| garoubl	|  	| Garou - mark of the wolves (bootleg)			| garou		| 1999	| bootleg	| Neo Geo	| 					|
| garoup	|  	| Garou - mark of the wolves (prototype)		| garou		| 1999	| SNK		| Neo Geo	| 					|
| garou		|  	| Garou - mark of the wolves (set 1)			| 		| 1999	| SNK		| Neo Geo	| 					|
| garouo	|  	| Garou - mark of the wolves (set 2)			| garou		| 1999	| SNK		| Neo Geo	| 					|
| g_garou	| D	| Garou Densetsu - Shukumei no Tatakai (J) [!]		| 		| 1993	| SNK / Takara	| Megadrive	| 					|
| g_garou2	| D	| Garou Densetsu 2 - Arata-naru Tatakai (J) [c][!]	| 		| 1994	| SNK / Takara	| Megadrive	| 					|
| g_gaunt	| D	| Gauntlet (J) [!]					| 		| 1994	| Tengen / Atari| Megadrive	| 					|
| g_gau4	| D	| Gauntlet 4 (UE) (Aug 1993) [!]			| 		| 1994	| Tengen / Atari| Megadrive	| 					|
| g_gaun4a	| D	| Gauntlet 4 (UE) (Sep 1993)				| 		| 1994	| Tengen / Atari| Megadrive	| 					|
| g_gemfi	| D	| GemFire (U) [!]					| 		| 1900	| Koei		| Megadrive	| 					|
| g_genc	| D	| General Chaos (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_glos	| D	| Generations Lost (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_geng	| D	| Genghis Khan II - Clan of the Gray Wolf (U) [!]	| 		| 1900	| Koei		| Megadrive	| 					|
| gensitou	|  	| Genshi-Tou 1930's (Japan)				| prehisle	| 1989	| SNK		| Prehistoric Is| 					|
| g_gfkobe	| D	| George Foreman's KO Boxing (E) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gfko	| D	| George Foreman's KO Boxing (U) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| getstarb	|  	| Get Star (bootleg, set 1)				| getstar	| 1986	| Taito		| Early Toaplan	| 					|
| gtstarba	|  	| Get Star (bootleg, set 2)				| getstar	| 1986	| Taito		| Early Toaplan	| 					|
| gpilots	|  	| Ghost Pilots (set 1)					| 		| 1991	| SNK		| Neo Geo	| 					|
| gpilotsh	|  	| Ghost Pilots (set 2)					| gpilots	| 1991	| SNK		| Neo Geo	| 					|
| g_gbus00	| D	| Ghostbusters (W) (REV00) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gbus	| D	| Ghostbusters (W) (REV01) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| ghostlop	|  	| Ghostlop						| 		| 1994	| Data East Corp| Neo Geo	| 					|
| g_gng01	| D	| Ghouls 'N Ghosts (UE) (REV01) [!]			| 		| 1989	| Capcom / Sega	| Megadrive	| 					|
| g_gng		| D	| Ghouls 'N Ghosts (UE) (REV02) [!]			| 		| 1989	| Capcom / Sega	| Megadrive	| 					|
| ghoulsu	|  	| Ghouls'n Ghosts (US)					| ghouls	| 1988	| Capcom	| CPS1		| 					|
| ghouls	|  	| Ghouls'n Ghosts (World)				| 		| 1988	| Capcom	| CPS1		| 					|
| gwinga	|  	| Giga Wing (990222 Asia)				| gigawing	| 1999	| Capcom	| CPS2		| 					|
| gigawing	|  	| Giga Wing (990222 USA)				| 		| 1999	| Capcom	| CPS2		| 					|
| gwingj	|  	| Giga Wing (990223 Japan)				| gigawing	| 1999	| Capcom	| CPS2		| 					|
| g_gley	| D	| Gley Lancer (J)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| goalx3	|  	| Goal! Goal! Goal!					| 		| 1995	| Visco		| Neo Geo	| 					|
| g_godsb	| D	| Gods (Beta)						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_godse	| D	| Gods (E) [!]						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_godsj	| D	| Gods (J) [!]						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gods	| D	| Gods (U) [!]						| 		| 1900	| Unsorted	| Megadrive	| 					|
| goldnax1	|  	| Golden Axe (set 1, World, FD1094 317-0110)		| goldnaxe	| 1989	| Sega		| System 16B	| 					|
| goldnax2	|  	| Golden Axe (set 2, US, 8751 317-0112)			| goldnaxe	| 1989	| Sega		| System 16B	| 					|
| goldnax3	|  	| Golden Axe (set 3, World, FD1094 317-0120)		| goldnaxe	| 1989	| Sega		| System 16B	| 					|
| goldnaxj	|  	| Golden Axe (set 4, Japan, FD1094 317-0121)		| goldnaxe	| 1989	| Sega		| System 16B	| 					|
| goldnaxu	|  	| Golden Axe (set 5, US, FD1094 317-0122)		| goldnaxe	| 1989	| Sega		| System 16B	| 					|
| goldnaxe	|  	| Golden Axe (set 6, US, 8751 317-123A)			| 		| 1989	| Sega		| System 16B	| 					|
| g_gax00	|  	| Golden Axe (W) (REV00) [!]				| g_gax		| 1900	| Unsorted	| Megadrive	| 					|
| g_gax		|  	| Golden Axe (W) (REV01) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gax2b	| D	| Golden Axe II (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gax2	| D	| Golden Axe II (W) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gax3	| D	| Golden Axe III (J) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_goof	| D	| Goofy's Hysterical History Tour (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| gorkans	|  	| Gorkans						| mrtnt		| 1983	| Techstar	| Pac-man	| 					|
| powerins	|  	| Gouketsuji Ichizoku (Japan)				| 		| 1993	| Atlus		| Miscellaneous	| 					|
| gprider1	|  	| GP Rider (set 1, US, FD1094 317-0162)			| gprider	| 1990	| Sega		| X-Board	| 					|
| g_gran00	| D	| Granada (JU) (REV00) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gran	| D	| Granada (JU) (REV01) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gste	| D	| Grand Slam Tennis (E) [!]				| 		| 1900	| Sega / System | Megadrive	| 					|
| g_gstenj	| D	| Grand Slam Tennis (J) [!]				| 		| 1900	| Sega / System | Megadrive	| 					|
| gtmr2u	|  	| Great 1000 Miles Rally 2 USA (95/05/18)		| gtmr2		| 1995	| Kaneko	| Kaneko 16-bit	| 					|
| gtmre		|  	| Great 1000 Miles Rally: Evolution Model!!! (94/09/06)	| gtmr		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| gtmrusa	|  	| Great 1000 Miles Rally: U.S.A Version! (94/09/06)	| gtmr		| 1994	| Kaneko	| Kaneko 16-bit	| 					|
| g_gcm		| D	| Great Circus Myster					| 		| 1994	| Disney / Capco| Megadrive	| 					|
| gmahou	|  	| Great Mahou Daisakusen (000121 Japan)			| dimahoo	| 2000	| 8ing / Raizing| CPS2		| 					|
| g_gws		| D	| Great Waldo Searc					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ghwj	| D	| Greatest Heavyweights of the Ring (J) [c][!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_ghwor	| D	| Greatest Heavyweights of the Ring (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gdog	| D	| Greendog - The Beached Surfer Dude (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| grindsta	|  	| Grind Stormer (older set)				| vfive		| 1992	| Toaplan GP9001| Toaplan	| No sound (sound MCU not dumped)	|
| g_grin	| D	| GRIND Stormer (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| grindstm	|  	| Grind Stormer						| vfive		| 1992	| Toaplan	| Toaplan GP9001| No sound (sound MCU not dumped)	|
| g_grwl	| D	| Growl (U) [!]						| 		| 1900	| Unsorted	| Megadrive	| 					|
| grdians	|  	| Guardians\0Denjin Makai II				| 		| 1995	| Banpresto	| Newer Seta	| 					|
| gunsmokj	|  	| Gun. Smoke (Japan)					| gunsmoke	| 1985	| Capcom	| misc		| 					|
| gunsmoku	|  	| Gun. Smoke (US set 1)					| gunsmoke	| 1985	| Capcom (Romsta| misc		| 					|
| gunsmoka	|  	| Gun. Smoke (US set 2)					| gunsmoke	| 1986	| Capcom (Romsta| misc		| 					|
| gunsmoke	|  	| Gun. Smoke (World)					| 		| 1985	| Capcom	| misc		| 					|
| gunbirdj	|  	| Gunbird (Japan)					| gunbird	| 1994	| Psikyo	| Psikyo 68EC020| 					|
| gunbirdk	|  	| Gunbird (Korea)					| gunbird	| 1994	| Psikyo	| Psikyo 68EC020| 					|
| gunbird	|  	| Gunbird (World)					| 		| 1994	| Psikyo	| Psikyo 68EC020| 					|
| g_gshi	| D	| Gunship (E) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_gshe	| D	| Gunstar Heroes (E) [!]				| 		| 1993	| Sega / Treasur| Megadrive	| 					|
| g_gshj	| D	| Gunstar Heroes (J) [!]]				| 		| 1993	| Sega / Treasur| Megadrive	| 					|
| g_gshsam	| D	| Gunstar Heroes (Sample) (J) [!]			| 		| 1993	| Sega / Treasur| Megadrive	| 					|
| g_gsh		| D	| Gunstar Heroes (U) [!]				| 		| 1993	| Sega / Treasur| Megadrive	| 					|
| gururin	|  	| Gururin						| 		| 1994	| Face		| Neo Geo	| 					|
| guwange	|  	| Guwange (Japan, 1999 6/24 master ver.)		| 		| 1999	| Atlus / Cave	| Cave		| 					|
| g_gyno	| D	| Gynoug (E) [!]					| 		| 1991	| NCS		| Megadrive	| 					|
| g_gynoge	| D	| Gynoug (E) [!]					| 		| 1991	| NCS		| Megadrive	| 					|
| gyrodinc	|  	| Gyrodine						| gyrodine	| 1984	| Crux		| Kyugo		| 					|
| gyrodine	|  	| Gyrodine (Taito Corporation license)			| 		| 1984	| Crux (Taito Co| Kyugo		| 					|
| hangon1	|  	| Hang-On						| hangon	| 1985	| Sega		| Hang-On	| 					|
| hangon	|  	| Hang-On (rev A)					| 		| 1985	| Sega		| Hang-On	| 					|
| hangly	|  	| Hangly-Man (set 1)					| puckman	| 1981	| hack		| Pac-man	| 					|
| hangly2	|  	| Hangly-Man (set 2)					| puckman	| 1981	| hack		| Pac-man	| 					|
| hangly3	|  	| Hangly-Man (set 3)					| puckman	| 1981	| hack		| Pac-man	| 					|
| g_hard	| D	| Hard Drivin' (W) [!]					| 		| 1990	| Tengen / Atari| Megadrive	| 					|
| g_hb94	| D	| HardBall '94 (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hb		| D	| HardBall '95 (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hb95	| D	| HardBall '95 (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hb3		| D	| HardBall III (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| htchctch	|  	| Hatch Catch						| 		| 1995	| SemiCom	| Miscellaneous	| 					|
| g_haun	| D	| Haunting Starring Polterguy (UE) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hoso	| D	| Head-On Soccer (U) (M5) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hnov	| D	| Heavy Nova (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_huni	| D	| Heavy Unit (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| hwchamp	|  	| Heavyweight Champ					| 		| 1987	| Sega		| System 16B	| 					|
| hellfir1	|  	| Hellfire (1P Ver.)					| hellfire	| 1989	| Toaplan (Taito| Toaplan BCU-2 | 					|
| hellfire	|  	| Hellfire (2P Ver.)					| 		| 1989	| Toaplan (Taito| Toaplan BCU-2 | 					|
| hellfir2	|  	| Hellfire (2P Ver., first edition)			| hellfire	| 1989	| Toaplan (Taito| Toaplan BCU-2 | 					|
| g_helfie	| D	| Hellfire (E)						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_helfij	| D	| Hellfire (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hell	| D	| Hellfire (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_herzoj	| D	| Herzog Zwei (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_herz	| D	| Herzog Zwei (UE) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hssoc	| D	| High School Soccer - Kunio Kun (J) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hsh		| D	| High Seas Havoc (U) [!]				| 		| 1993	| Data East	| Megadrive	| 					|
| g_hice	| D	| Hit The Ice (U) [c][!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hokuto	| D	| Hokuto no Ken (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_homeab	| D	| Home Alone (Beta)					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_home	| D	| Home Alone (U) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hom2	| D	| Home Alone 2 - Lost in New York (U) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| honeydol	|  	| Honey Dolls						| 		| 1995	| Barko Corp	| Kaneko Pandora| 					|
| g_dodg	| D	| Honoo no Toukyuuji Dodge Danpei (J) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| hookj		| D	| Hook (Japan)						| hook		| 1992	| Irem		| Miscellaneous	| Preliminary driver			|
| g_hook	| D	| Hook (U) [c][!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| hooku		| D	| Hook (US)						| hook		| 1992	| Irem America	| Miscellaneous	| Preliminary driver			|
| hook		| D	| Hook (World)						| 		| 1992	| Irem		| Miscellaneous	| Preliminary driver			|
| g_huma	| D	| Human							| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hurr	| D	| Hurricanes (E) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hybrid	| D	| Hybrid Fron						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hybrip	| D	| Hybrid Fron						| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hyokk	| D	| Hyokkori Hyoutanjima (J) [c][!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hdunkb	| D	| Hyper Dunk - The Playoff Edition (Beta)		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hydu	| D	| Hyper Dunk - The Playoff Edition (E) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hdunkj	| D	| Hyper Dunk - The Playoff Edition (J) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_hymar	| D	| Hyper Marbles (SN) (J) [!]				| 		| 1994	| Sega		| Megadrive	| 					|
| hyperpac	|  	| Hyper Pacman						| 		| 1995	| SemiCom	| Kaneko Pandora| 					|
| hyperpcb	|  	| Hyper Pacman (bootleg)				| hyperpac	| 1995	| SemiCom	| Kaneko Pandora| 					|
| hsf2j		|  	| Hyper Street Fighter 2: The Anniversary Edition (03122| hsf2		| 2004	| Capcom	| CPS2		| 					|
| hsf2		|  	| Hyper Street Fighter 2: The Anniversary Edition (04020| 		| 2004	| Capcom	| CPS2		| 					|
| g_micdo	| D	| I Love Mickey & Donald - Fushigi na Magic Box (J)	| 		| 1992	| Disney / Sega	| Megadrive	| 					|
| g_mickey	| D	| I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (J)| 		| 1990	| Disney / Sega	| Megadrive	| 					|
| g_mick	| D	| I Love Mickey Mouse - Fushigi no Oshiro Dai Bouken (J)| 		| 1990	| Disney / Sega	| Megadrive	| 					|
| g_ichir	| D	| Ichidant R (J) [!]					| 		| 1900	| Unsorted	| Megadrive	| 					|
| igmo		|  	| IGMO							| 		| 1984	| Epos Corporati| EPOS Tristar	| Missing color Prom (Incorrect Color)	|
| g_imgi	| D	| IMG International Tour Tennis (UE) [!]		| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_immorj	| D	| Immorta						| 		| 1900	| Unsorted	| Megadrive	| 					|
