This list contains all games supported by FB Alpha.

2833 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| abscam	|  	| Abscam						| puckman	| 1981	| GL (US Billiar| Pac-man	| 					|
| aceattac	|   NW	| Ace Attacker (FD1094 317-0059)			| 		| 1988	| Sega		| System 16B	| 					|
| aceattaa	|  	| Ace Attacker (Japan, System 16A, FD1094 317-0060)	| aceattac	| 1986	| Sega		| System 16A	| 					|
| afighter	|  	| Action Fighter, FD1089A 317-0018			| 		| 1986	| Sega		| System 16A	| 					|
| g_afav	|  	| Addams Family Values (E) (M3) [!]			| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_adamb	|  	| Addams Family, The (Beta)				| g_afam	| 1900	| Unsorted	| Megadrive	| 					|
| g_afam	|  	| Addams Family, The (UE) [!]				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_advdai	| D	| Advanced Daisenryaku (J) (REV01) [!]			| 		| 1900	| Unsorted	| Megadrive	| Bad sound				|
| g_abate	| D	| Adventures of Batman and Robi				| g_abat	| 1995	| Sega		| Megadrive	| No Sound				|
| g_abat	| D	| Adventures of Batman and Robi				| 		| 1995	| Sega		| Megadrive	| No sound				|
| g_mmaxe	| D	| Adventures of Mighty Ma				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_mmax	| D	| Adventures of Mighty Ma				| 		| 1900	| Unsorted	| Megadrive	| 					|
| g_aerobl	|  	| Aero Blasters (J) [!]					| g_abus	| 1900	| Unsorted	| Megadrive	| 					|
| aerofgt	|  	| Aero Fighters						| 		| 1992	| Video System C| Video System	| 					|
| aerofgtb	|  	| Aero Fighters (Turbo Force hardware set 1)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| aerofgtc	|  	| Aero Fighters (Turbo Force hardware set 2)		| aerofgt	| 1992	| Video System C| Video System	| 					|
| sonicwi2	|  	| Aero Fighters 2\0Sonic Wings 2			| 		| 1994	| Video System C| Neo Geo	| 					|
| sonicwi3	|  	| Aero Fighters 3\0Sonic Wings 3			| 		| 1995	| Video System C| Neo Geo	| 					|
| g_acro	| D	| Aero the Acro-Bat (U) [c][!]				| 		| 1993	| Sunsoft / Igua| Megadrive	| No sound				|
| g_acro2e	| D	| Aero the Acro-Bat 2 (E) [!]				| g_acr2	| 1994	| Sunsoft / Igua| Megadrive	| Bad sound				|
